email_id,client_id,date,emails_sent,open_rate,click_rate,subject_line
E001,C101,2024-12-01,10000,0.25,0.08,Winter Deals Inside!
E001,C101,2024-12-02,10500,0.26,0.09,Flash Sale 24H
E002,C102,2024-12-01,15000,0.3,0.1,Exclusive Beta Access
E003,C103,2024-12-01,9000,0.22,0.06,Getaway Discounts Just for You
E70317,C106,2024-12-01,23821,0.31,0.15,Pre-emptive hybrid secured line particular
E70317,C106,2024-12-01,41957,0.28,0.06,Profit-focused systemic orchestration space
E46176,C108,2024-12-01,24722,0.47,0.21,Cross-platform bandwidth-monitored projection large
E74428,C108,2024-12-01,11010,0.31,0.16,Distributed bandwidth-monitored system engine interest
E82790,C108,2024-12-01,30679,0.43,0.25,Fundamental web-enabled matrices local
E70317,C106,2024-12-02,24459,0.49,0.07,Pre-emptive regional toolset dark
E99683,C107,2024-12-02,23770,0.25,0.06,Sharable content-based info-mediaries response
E27453,C104,2024-12-03,47497,0.49,0.22,Pre-emptive mission-critical productivity country
E99683,C107,2024-12-03,13793,0.37,0.11,Phased actuating hierarchy action
E56283,C112,2024-12-03,23009,0.2,0.07,Function-based composite architecture interest
E56283,C112,2024-12-03,43843,0.36,0.13,Progressive fault-tolerant budgetary management leader
E56283,C112,2024-12-03,15564,0.36,0.14,User-friendly dedicated customer loyalty to
E43659,C103,2024-12-03,17631,0.27,0.1,Business-focused 6thgeneration frame between
E43659,C103,2024-12-03,29065,0.2,0.07,Realigned multi-tasking frame chance
E12549,C103,2024-12-03,44223,0.26,0.12,Diverse zero tolerance access special
E37448,C113,2024-12-03,39975,0.47,0.12,Monitored leadingedge architecture evidence
E37448,C113,2024-12-03,49952,0.45,0.16,De-engineered zero administration ability pretty
E37448,C113,2024-12-03,15945,0.29,0.15,Automated clear-thinking policy effect
E002,C102,2024-12-04,12648,0.2,0.08,Right-sized bi-directional standardization store
E74019,C102,2024-12-04,45791,0.29,0.17,Configurable maximized structure industry
E81165,C107,2024-12-04,41993,0.3,0.17,Fully-configurable modular help-desk poor
E79671,C107,2024-12-04,18002,0.4,0.22,Multi-lateral well-modulated projection property
E28198,C107,2024-12-04,42433,0.45,0.07,Streamlined stable moderator budget
E84303,C105,2024-12-04,27907,0.33,0.12,Reactive 3rdgeneration projection decision
E41133,C105,2024-12-04,37030,0.33,0.08,Mandatory grid-enabled functionalities shake
E84303,C105,2024-12-04,30208,0.47,0.11,Reverse-engineered foreground strategy glass
E15700,C108,2024-12-04,44698,0.26,0.11,Re-engineered attitude-oriented firmware special
E62752,C101,2024-12-04,38102,0.49,0.22,Adaptive next generation encryption democratic
E62752,C101,2024-12-04,42014,0.41,0.17,Switchable exuding matrices brother
E70317,C106,2024-12-04,26717,0.39,0.15,Digitized 6thgeneration capability kid
E52305,C106,2024-12-04,44389,0.39,0.17,Phased dedicated circuit money
E001,C101,2024-12-05,34326,0.33,0.12,Diverse well-modulated extranet capital
E10656,C113,2024-12-05,28657,0.28,0.06,Integrated fault-tolerant Local Area Network doctor
E29135,C113,2024-12-05,23356,0.28,0.13,Public-key composite portal husband
E49979,C113,2024-12-05,47601,0.47,0.27,Function-based scalable framework customer
E52228,C106,2024-12-05,24585,0.49,0.22,Fundamental value-added array over
E48364,C109,2024-12-05,11745,0.32,0.21,Mandatory solution-oriented flexibility road
E62689,C109,2024-12-05,39822,0.39,0.07,Face-to-face bi-directional implementation cost
E84303,C105,2024-12-05,41075,0.22,0.11,Multi-layered holistic framework short
E44226,C105,2024-12-05,20110,0.21,0.12,Organic responsive forecast hand
E41133,C105,2024-12-05,47358,0.44,0.28,Profound radical definition president
E75278,C109,2024-12-06,48021,0.27,0.16,Integrated zero tolerance protocol property
E91061,C110,2024-12-06,31571,0.26,0.12,Open-architected high-level implementation shake
E82717,C110,2024-12-06,28940,0.34,0.08,Total zero-defect strategy clear
E55197,C110,2024-12-06,12385,0.45,0.2,Innovative solution-oriented function item
E44226,C105,2024-12-06,30461,0.24,0.11,Multi-lateral intermediate definition play
E59122,C105,2024-12-06,47955,0.35,0.16,Self-enabling bandwidth-monitored throughput son
E62515,C106,2024-12-06,39042,0.33,0.13,Profit-focused national knowledge user lay
E62515,C106,2024-12-06,33701,0.48,0.16,Cloned hybrid throughput shake
E27453,C104,2024-12-06,18378,0.29,0.12,Assimilated empowering toolset although
E10471,C104,2024-12-06,18936,0.47,0.21,Sharable 3rdgeneration strategy key
E89455,C105,2024-12-07,14276,0.37,0.15,Distributed holistic monitoring have
E84303,C105,2024-12-07,44380,0.36,0.21,Face-to-face zero administration array face
E68856,C105,2024-12-07,48497,0.27,0.1,Enterprise-wide high-level focus group open
E74019,C102,2024-12-07,20868,0.39,0.2,Adaptive multi-tasking attitude support
E83290,C110,2024-12-07,47091,0.22,0.06,Balanced object-oriented challenge drop
E003,C103,2024-12-07,11748,0.4,0.18,Reduced leadingedge success room
E30475,C103,2024-12-07,37481,0.35,0.13,Synergized real-time paradigm pick
E94429,C112,2024-12-07,21651,0.39,0.1,Extended responsive task-force approach
E43112,C109,2024-12-07,47608,0.26,0.08,User-centric executive benchmark push
E43112,C109,2024-12-07,20023,0.38,0.18,Multi-tiered 4thgeneration paradigm interest
E62689,C109,2024-12-07,14755,0.23,0.14,Persistent actuating firmware air
E58805,C106,2024-12-08,39645,0.32,0.16,Future-proofed content-based framework market
E77708,C106,2024-12-08,47593,0.35,0.2,Balanced grid-enabled moderator culture
E70055,C106,2024-12-08,49079,0.46,0.22,Enhanced intermediate intranet catch
E29493,C111,2024-12-09,36859,0.28,0.06,Upgradable value-added contingency either
E29493,C111,2024-12-09,41914,0.39,0.17,Fundamental full-range software offer
E82790,C108,2024-12-09,44083,0.37,0.1,Proactive transitional support visit
E82790,C108,2024-12-09,21546,0.21,0.06,Triple-buffered grid-enabled initiative else
E15700,C108,2024-12-09,46549,0.26,0.05,Reverse-engineered didactic open architecture lay
E99683,C107,2024-12-09,41007,0.36,0.21,Down-sized bi-directional algorithm either
E60544,C107,2024-12-09,27110,0.49,0.22,Virtual upward-trending utilization without
E001,C101,2024-12-09,26195,0.46,0.11,Profit-focused leadingedge knowledge user collection
E55971,C101,2024-12-09,12934,0.36,0.05,Versatile bandwidth-monitored definition indicate
E59122,C105,2024-12-09,22365,0.33,0.14,Fundamental coherent solution American
E68856,C105,2024-12-09,40263,0.25,0.14,Business-focused mobile workforce new
E48544,C105,2024-12-09,11406,0.3,0.19,De-engineered incremental structure fear
E56283,C112,2024-12-09,28746,0.48,0.08,Stand-alone holistic superstructure cell
E94429,C112,2024-12-09,33528,0.46,0.12,Compatible encompassing throughput talk
E63601,C108,2024-12-10,26453,0.35,0.14,Business-focused impactful process improvement public
E73082,C107,2024-12-10,49822,0.39,0.08,Multi-layered regional pricing structure here
E60544,C107,2024-12-10,28997,0.25,0.12,Compatible didactic product actually
E22562,C107,2024-12-10,18955,0.48,0.05,Programmable system-worthy knowledgebase guess
E26861,C104,2024-12-10,36592,0.45,0.09,Enterprise-wide system-worthy conglomeration your
E55971,C101,2024-12-10,34592,0.27,0.13,Networked actuating access political
E22562,C107,2024-12-11,22538,0.27,0.11,User-centric user-facing time-frame activity
E62752,C101,2024-12-11,34964,0.21,0.07,Realigned multi-tasking software already
E99997,C101,2024-12-11,26179,0.24,0.05,Function-based impactful portal his
E55971,C101,2024-12-11,30418,0.44,0.17,Profound incremental product cold
E20627,C104,2024-12-11,18707,0.47,0.24,Up-sized discrete pricing structure as
E38308,C102,2024-12-11,30348,0.37,0.14,Polarized encompassing firmware owner
E74019,C102,2024-12-11,46147,0.27,0.1,Front-line demand-driven monitoring building
E74019,C102,2024-12-11,30369,0.22,0.1,Streamlined actuating customer loyalty control
E71499,C110,2024-12-11,21738,0.36,0.08,Right-sized intangible alliance how
E77913,C110,2024-12-11,49612,0.42,0.1,Up-sized context-sensitive leverage loss
E61448,C110,2024-12-11,29251,0.36,0.16,Extended logistical productivity four
E56721,C108,2024-12-11,44788,0.35,0.17,Open-architected attitude-oriented application meeting
E82790,C108,2024-12-11,44827,0.29,0.09,Decentralized regional approach red
E79086,C108,2024-12-11,42039,0.32,0.07,Polarized homogeneous projection gun
E98143,C109,2024-12-12,19192,0.3,0.07,Advanced uniform moratorium nice
E89895,C109,2024-12-12,17351,0.35,0.08,Progressive background utilization speech
E98143,C109,2024-12-12,46174,0.38,0.19,Assimilated 5thgeneration groupware rest
E29493,C111,2024-12-12,11430,0.25,0.09,Multi-lateral solution-oriented artificial intelligence concern
E29493,C111,2024-12-12,29715,0.35,0.08,Integrated executive contingency unit
E29493,C111,2024-12-12,36431,0.4,0.16,Monitored client-server product tend
E48544,C105,2024-12-12,34546,0.47,0.08,Synergized homogeneous strategy such
E12075,C112,2024-12-12,21793,0.37,0.14,Total upward-trending standardization economy
E12075,C112,2024-12-12,38916,0.29,0.09,Persevering 24hour hub trip
E25488,C112,2024-12-12,41692,0.42,0.15,Robust national data-warehouse travel
E37944,C111,2024-12-13,37458,0.47,0.27,Future-proofed high-level artificial intelligence house
E26497,C111,2024-12-13,20874,0.37,0.11,Persistent tangible open system bit
E60544,C107,2024-12-13,32708,0.38,0.06,Sharable asynchronous definition let
E48364,C109,2024-12-13,32523,0.21,0.08,Stand-alone hybrid frame whatever
E11393,C109,2024-12-13,41587,0.39,0.21,Switchable mission-critical standardization some
E63601,C108,2024-12-13,30146,0.39,0.05,Stand-alone neutral process improvement training
E79086,C108,2024-12-13,21538,0.31,0.06,Profound systemic capability realize
